date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,return
2016-03-09 00:00:00+00:00,57.07,57.97,56.79,57.78,9734589,46.5019776149,47.2353187723,46.2738270326,47.0805023058,9734589,0.0,1.0,-0.0092013888896512
2016-03-10 00:00:00+00:00,57.52,57.86,56.92,57.51,7023785,46.8686481936,47.1456881864,46.3797540887,46.8604999586,7023785,0.0,1.0,0.0078850534430285
2016-03-11 00:00:00+00:00,57.59,58.1,56.57,58.1,15497560,46.9256858392,47.3412458284,46.0945658608,47.3412458284,15497560,0.0,1.0,0.0012169680116309
2016-03-14 00:00:00+00:00,58.65,58.78,57.5,57.58,9053250,47.7893987579,47.895325814,46.8523517235,46.9175376041,9053250,0.0,1.0,0.0184059732586474
2016-03-15 00:00:00+00:00,59.08,59.1566,58.17,58.32,7428469,48.1397728665,48.2021883472,47.398283474,47.5205070002,7428469,0.0,1.0,0.0073316283047415
2016-03-16 00:00:00+00:00,59.67,59.82,58.65,58.65,8069427,48.6205187363,48.7427422626,47.7893987579,47.7893987579,8069427,0.0,1.0,0.0099864590373783
2016-03-17 00:00:00+00:00,59.55,59.98,59.37,59.47,7734658,48.5227399154,48.8731140239,48.3760716839,48.4575540347,7734658,0.0,1.0,-0.0020110608327795
2016-03-18 00:00:00+00:00,59.7,60.45,59.4295,59.91,14313578,48.6449634416,49.2560810728,48.4245536826,48.8160763783,14313578,0.0,1.0,0.0025188916869305
2016-03-21 00:00:00+00:00,59.1,59.8609,59.015,59.56,6487185,48.1560693366,48.7760685441,48.0868093384,48.5308881504,6487185,0.0,1.0,-0.0100502512575003
2016-03-22 00:00:00+00:00,59.38,59.55,58.57,59.0,8246837,48.384219919,48.5227399154,47.7242128773,48.0745869858,8246837,0.0,1.0,0.0047377326584794
2016-03-23 00:00:00+00:00,58.83,59.395,58.69,59.14,5794495,47.9360669894,48.3964422716,47.8219916983,48.188662277,5794495,0.0,1.0,-0.0092623779064797
2016-03-24 00:00:00+00:00,58.36,58.79,58.28,58.7,5948307,47.5530999406,47.9034740491,47.4879140599,47.8301399334,5948307,0.0,1.0,-0.0079891211952094
2016-03-28 00:00:00+00:00,58.96,59.47,58.4,58.56,5791603,48.0419940455,48.4575540347,47.5856928809,47.7160646422,5791603,0.0,1.0,0.0102810143925566
