date,adjClose,Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Ret,ExcessRet
2016-02-26,47.5368034704,2016-02-26,-0.0002,0.0086,0.0029,-0.0056,0.0003,0.0,-0.0069787234047501,-0.0069787234047501
2016-02-29,47.4308764143,2016-02-29,-0.0069,0.0069999999999999,0.0025,0.0015,0.0043,0.0,-0.0022283167644193,-0.0022283167644193
2016-03-01,48.9220034344,2016-03-01,0.0233999999999999,-0.0066,0.0039,-0.0059,-0.0059,0.0,0.0314378972691813,0.0314378972691813
2016-03-02,48.5308881504,2016-03-02,0.0054,0.006,0.0068,-0.0070999999999999,-0.0013,0.0,-0.0079946702208228,-0.0079946702208228
2016-03-03,48.1071799262,2016-03-03,0.005,0.0058,0.0065,0.0028,0.0037,0.0,-0.0087306917377425,-0.0087306917377425
2016-03-04,47.8301399334,2016-03-04,0.0037,0.0034,0.0028,0.001,0.0006,0.0,-0.0057588075880772,-0.0057588075880772
2016-03-07,47.2597634776,2016-03-07,0.0021,0.0131,0.0055,-0.0048,0.0044,0.0,-0.0119250425901785,-0.0119250425901785
2016-03-08,46.9338340743,2016-03-08,-0.0127,-0.0128,-0.0046999999999999,0.0066,0.0014,0.0,-0.0068965517242692,-0.0068965517242692
2016-03-09,46.5019776149,2016-03-09,0.005,0.001,0.004,0.0024,0.0015,0.0,-0.0092013888896512,-0.0092013888896512
2016-03-10,46.8686481936,2016-03-10,-0.001,-0.0077,0.0062,0.0031,0.002,0.0,0.0078850534430285,0.0078850534430285
2016-03-11,46.9256858392,2016-03-11,0.0169,0.0031,0.0023,-0.0042,-0.0034999999999999,0.0,0.0012169680116309,0.0012169680116309
2016-03-14,47.7893987579,2016-03-14,-0.0012,-0.0016,-0.009,-0.0002,-0.0025,0.0,0.0184059732586474,0.0184059732586474
2016-03-15,48.1397728665,2016-03-15,-0.0034999999999999,-0.0147,0.0069,0.0043,0.001,0.0,0.0073316283047415,0.0073316283047415
2016-03-16,48.6205187363,2016-03-16,0.0063,0.0011,-0.0009,0.0059,-0.0005,0.0,0.0099864590373783,0.0099864590373783
2016-03-17,48.5227399154,2016-03-17,0.0070999999999999,0.0096,0.0059,0.0012,0.0069,0.0,-0.0020110608327795,-0.0020110608327795
2016-03-18,48.6449634416,2016-03-18,0.0054,0.0045,-0.0014,-0.0023,0.0019,0.0,0.0025188916869305,0.0025188916869305
2016-03-21,48.1560693366,2016-03-21,0.001,-0.0029,-0.0032,-0.0009,-0.0033,0.0,-0.0100502512575003,-0.0100502512575003
2016-03-22,48.384219919,2016-03-22,-0.0005,-0.0009,-0.0045,-0.0031,-0.0026,0.0,0.0047377326584794,0.0047377326584794
2016-03-23,47.9360669894,2016-03-23,-0.0085,-0.012,-0.0016,0.0068,0.0001,0.0,-0.0092623779064797,-0.0092623779064797
2016-03-24,47.5530999406,2016-03-24,0.0,0.0044,-0.0006,0.0005,0.0,0.0,-0.0079891211952094,-0.0079891211952094
2016-03-28,48.0419940455,2016-03-28,0.0004,-0.0003,0.0016,-0.0004,0.0024,0.0,0.0102810143925566,0.0102810143925566
2016-03-29,48.5227399154,2016-03-29,0.0107,0.0167,-0.0118999999999999,0.002,-0.0058,0.0,0.0100067842613837,0.0100067842613837
2016-03-30,48.8975587291,2016-03-30,0.0040999999999999,-0.0027,0.0016,-0.0007,0.0005,0.0,0.0077246011736662,0.0077246011736662
2016-03-31,48.6449634416,2016-03-31,-0.0011,0.0042,-0.0049,-0.0011,-0.0012,0.0,-0.0051658056979779,-0.0051658056979779
2016-04-01,49.7205304725,2016-04-01,0.0064,-0.0034,-0.0063,-0.0038,-0.0016,0.0,0.0221105527644451,0.0221105527644451
2016-04-04,49.0931163711,2016-04-04,-0.0040999999999999,-0.0029,-0.0078,-0.0025,-0.002,0.0,-0.0126188135049568,-0.0126188135049568
2016-04-05,48.9220034344,2016-04-05,-0.0093999999999999,-0.0018,-0.0038,0.0009,0.0017,0.0,-0.0034854771778296,-0.0034854771778296
2016-04-06,49.5657140059,2016-04-06,0.0113999999999999,0.0009,-0.0076,-0.0054,-0.0065,0.0,0.0131578947367345,0.0131578947367345
2016-04-07,49.8427539987,2016-04-07,-0.0123,-0.001,-0.0038,-0.0001,0.0019,0.0,0.0055893473615051,0.0055893473615051
2016-04-08,49.7368269426,2016-04-08,0.0029,0.0013,0.0068,0.0037,0.0031,0.0,-0.0021252247839829,-0.0021252247839829
2016-04-11,49.6227516515,2016-04-11,-0.0028,-0.0001,0.0095,0.0,0.0031,0.0,-0.0022935779805906,-0.0022935779805906
2016-04-12,48.4819987399,2016-04-12,0.0098999999999999,0.0001,0.0087,0.0003,-0.0012,0.0,-0.0229885057485625,-0.0229885057485625
2016-04-13,49.0605234308,2016-04-13,0.0123,0.0098,0.0038,-0.0048,-0.0036,0.0,0.0119327731103604,0.0119327731103604
2016-04-14,48.9953375501,2016-04-14,0.0003,-0.0024,0.0014,-0.0034999999999999,-0.0012,0.0,-0.0013286829438734,-0.0013286829438734
2016-04-15,49.3049704833,2016-04-15,-0.0004,0.003,-0.0034,0.0023,0.0015,0.0,0.0063196407797658,0.0063196407797658
2016-04-18,49.6146034164,2016-04-18,0.0065,0.0015,-0.0019,-0.0016,-0.0007,0.0,0.0062799537260624,0.0062799537260624
2016-04-19,49.6227516515,2016-04-19,0.0028,-0.0019,0.0148,-0.002,0.0036,0.0,0.0001642305800897,0.0001642305800897
2016-04-20,49.6227516515,2016-04-20,0.0015,-0.0001,0.0058,-0.0029,-0.0012,0.0,0.0,0.0
2016-04-21,49.4108975393,2016-04-21,-0.0048,-0.0002,-0.006,-0.006,-0.0034,0.0,-0.0042692939256543,-0.0042692939256543
2016-04-22,46.999019955,2016-04-22,0.0012,0.0103,0.0051,-0.0008,0.0093,0.0,-0.0488126649061912,-0.0488126649061912
2016-04-25,47.0723540707,2016-04-25,-0.0024,-0.0066,-0.0018,0.001,-0.0017,0.0,0.0015603328701367,0.0015603328701367
2016-04-26,47.0316128953,2016-04-26,0.0029,0.0081999999999999,0.0081,0.003,0.006,0.0,-0.0008655011249025,-0.0008655011249025
2016-04-27,46.3634576185,2016-04-27,0.0021,0.0019,0.0069999999999999,-0.0018,0.0075,0.0,-0.0142065142075272,-0.0142065142075272
2016-04-28,45.9723423346,2016-04-28,-0.0096,-0.0019,-0.0002,-0.0048,0.0056,0.0,-0.0084358523714576,-0.0084358523714576
2016-04-29,45.817525868,2016-04-29,-0.005,-0.0021,0.0036,0.0006,-0.0025,0.0,-0.003367600142564,-0.003367600142564
2016-05-02,46.7382764323,2016-05-02,0.0078,0.0,-0.0038,0.0003,-0.0012,0.0,0.0200960341453766,0.0200960341453766
2016-05-03,45.9967870398,2016-05-03,-0.0105,-0.0073,-0.0045,0.0053,0.0004,0.0,-0.0158647140866232,-0.0158647140866232
2016-05-04,46.111267932,2016-05-04,-0.0066,-0.0016,0.0005,0.0051,0.0026,0.0,0.0024888888891509,0.0024888888891509
2016-05-05,45.9967870398,2016-05-05,-0.0008,-0.0052,0.0006,0.0013,-0.0001,0.0,-0.0024827097005621,-0.0024827097005621
2016-05-06,46.0458502793,2016-05-06,0.0038,0.0006,0.0024,0.0018,0.0025,0.0,0.0010666666664684,0.0010666666664684
2016-05-09,46.3156980966,2016-05-09,0.0005,0.0021,-0.0146,0.0013,-0.0049,0.0,0.0058604155567372,0.0058604155567372
2016-05-10,47.0107606563,2016-05-10,0.0126,-0.0037,0.005,-0.0015,0.0005,0.0,0.0150070621466249,0.0150070621466249
2016-05-11,45.9804326267,2016-05-11,-0.0089,-0.0032,0.0079,-0.0039,0.0003,0.0,-0.0219168551032991,-0.0219168551032991
2016-05-12,46.0376730727,2016-05-12,-0.0011,-0.0062,0.0014,0.0036,0.0007,0.0,0.001244887068913,0.001244887068913
2016-05-13,45.6451671567,2016-05-13,-0.0081999999999999,0.0029,-0.0067,-0.0055,-0.0018,0.0,-0.0085257548829669,-0.0085257548829669
2016-05-16,45.4080281657,2016-05-16,0.0098999999999999,0.0021,-0.0023,-0.001,-0.003,0.0,-0.0051952705132154,-0.0051952705132154
2016-05-17,44.8765097377,2016-05-17,-0.0095,-0.0070999999999999,0.0060999999999999,-0.0014,-0.0011,0.0,-0.0117053844765164,-0.0117053844765164
2016-05-18,44.811092085,2016-05-18,0.001,0.0018,0.0089,-0.0133,-0.0063,0.0,-0.0014577259479928,-0.0014577259479928
2016-05-19,44.6066619204,2016-05-19,-0.0032,-0.0034,-0.0026,0.0036,-0.0002,0.0,-0.0045620437951439,-0.0045620437951439
2016-05-20,44.6639023665,2016-05-20,0.0075,0.0085,-0.0026,-0.004,-0.0036,0.0,0.0012832263979345,0.0012832263979345
2016-05-23,44.6475479533,2016-05-23,-0.0019,0.0024,-0.0032,-0.0023,0.001,0.0,-0.0003661662401507,-0.0003661662401507
2016-05-24,45.3344333065,2016-05-24,0.0143,0.0063,-0.0034999999999999,-0.001,-0.0038,0.0,0.0153846153862349,0.0153846153862349
2016-05-25,45.0972943155,2016-05-25,0.0070999999999999,-0.0012,0.0056,0.0022,-0.0008,0.0,-0.0052308802317376,-0.0052308802317376
2016-05-26,45.2117752077,2016-05-26,-0.0004,-0.0016,-0.0053,0.0015,-0.0023,0.0,0.0025385312785972,0.0025385312785972
2016-05-27,45.0972943155,2016-05-27,0.0048,0.0036,-0.0017,-0.0012,-0.001,0.0,-0.0025321034547766,-0.0025321034547766
2016-05-31,44.8846869443,2016-05-31,-0.0001,0.0046,-0.0037,-0.002,-0.0032,0.0,-0.0047144152310469,-0.0047144152310469
2016-06-01,44.8274464982,2016-06-01,0.002,0.0063,-0.0021,-0.0028,0.0006,0.0,-0.0012752778285172,-0.0012752778285172
2016-06-02,44.6639023665,2016-06-02,0.0034999999999999,0.0026,-0.0058,-0.002,-0.0004,0.0,-0.003648303538917,-0.003648303538917
2016-06-03,44.6557251599,2016-06-03,-0.0038,-0.0021,-0.0007,0.0052,0.0014,0.0,-0.0001830831200753,-0.0001830831200753
2016-06-06,45.4570914052,2016-06-06,0.006,0.0072,0.0031,-0.0018,-0.0008,0.0,0.0179454312393434,0.0179454312393434
2016-06-07,45.2199524143,2016-06-07,0.0012,0.0021,0.001,0.0036,0.0023,0.0,-0.0052167656039883,-0.0052167656039883
2016-06-08,45.1545347616,2016-06-08,0.0037,0.0043,-0.0009,0.0003,-0.0008,0.0,-0.001446654611678,-0.001446654611678
2016-06-09,45.4489141986,2016-06-09,-0.0027,-0.0044,-0.0024,0.0033,0.0012,0.0,0.0065193770360878,0.0065193770360878
2016-06-10,44.8642439278,2016-06-10,-0.0105,-0.0039,-0.0018,0.0018,0.0060999999999999,0.0,-0.012864339690166,-0.012864339690166
2016-06-13,45.0073450431,2016-06-13,-0.0084,-0.0036,0.0012,-0.0022,-0.0001,0.0,0.0031896473175898,0.0031896473175898
2016-06-14,45.4407369921,2016-06-14,-0.0019,0.0014,-0.0072,0.0033,0.0003,0.0,0.0096293604651633,0.0096293604651633
2016-06-15,45.2608384472,2016-06-15,-0.0011,0.0023,-0.0003,-0.0009,0.0002,0.0,-0.0039589706683514,-0.0039589706683514
2016-06-16,45.4080281657,2016-06-16,0.0024,-0.0032,-0.0044,0.0025,0.0031,0.0,0.003252032519718,0.003252032519718
2016-06-17,45.2281296208,2016-06-17,-0.003,0.0007,0.0095,0.0042,0.0062,0.0,-0.0039618224390526,-0.0039618224390526
2016-06-20,45.2853700669,2016-06-20,0.0070999999999999,0.006,0.0001,-0.0018,0.001,0.0,0.0012655939252832,0.0012655939252832
2016-06-21,45.6369899501,2016-06-21,0.0021,-0.0060999999999999,0.0051,-0.0019,-0.0001,0.0,0.007764535934686,0.007764535934686
2016-06-22,45.4734458184,2016-06-22,-0.002,-0.0031,0.0007,0.001,-0.0001,0.0,-0.0035835871708195,-0.0035835871708195
2016-06-23,45.8986605608,2016-06-23,0.0144999999999999,0.0056,0.0046999999999999,-0.0056,-0.0018,0.0,0.0093508361802647,0.0093508361802647
2016-06-24,44.712965606,2016-06-24,-0.0369,0.0002,-0.0121,0.0098,0.0007,0.0,-0.0258328879386222,-0.0258328879386222
2016-06-27,43.9034221541,2016-06-27,-0.0206,-0.0106,-0.0072,0.0062,0.0043,0.0,-0.0181053401609166,-0.0181053401609166
2016-06-28,44.8519781179,2016-06-28,0.0176,-0.0037,0.0016,-0.0063,-0.0056999999999999,0.0,0.0216055131299468,0.0216055131299468
2016-06-29,46.3974701625,2016-06-29,0.0179,0.0031,-0.0004,-0.0013,-0.0026,0.0,0.0344576116696,0.0344576116696
2016-06-30,46.7082040127,2016-06-30,0.0141999999999999,0.0039,0.0042,-0.0011,0.0038,0.0,0.0066972153678144,0.0066972153678144
2016-07-01,46.6019003271,2016-07-01,0.0024,0.0046,-0.0043,-0.0007,0.0023,0.0,-0.0022759103640787,-0.0022759103640787
2016-07-05,46.4220017822,2016-07-05,-0.0084,-0.0083,-0.0138,0.0060999999999999,-0.0070999999999999,0.0,-0.0038603263737591,-0.0038603263737591
2016-07-06,46.4056473691,2016-07-06,0.0062,0.0018,-0.0012,-0.0005,-0.0015,0.0,-0.0003522987478378,-0.0003522987478378
2016-07-07,46.5364826744,2016-07-07,0.0002,0.0032,-0.0018,0.0014,-0.0027,0.0,0.002819383258666,0.002819383258666
2016-07-08,46.209394411,2016-07-08,0.0159,0.0097,0.0033,0.0002,0.0029,0.0,-0.0070286417151147,-0.0070286417151147
2016-07-11,46.0540274859,2016-07-11,0.0042,0.0068,0.0028,0.0032,-0.0011,0.0,-0.0033622367719887,-0.0033622367719887
2016-07-12,47.0025834498,2016-07-12,0.0075,0.0074,0.0098,-0.0058,0.0065,0.0,0.020596590910326,0.020596590910326
2016-07-13,46.1848627913,2016-07-13,-0.0004,-0.0046,0.0048,0.0051,-0.0001,0.0,-0.0173973556022372,-0.0173973556022372
2016-07-14,47.0925327222,2016-07-14,0.0051,-0.0040999999999999,0.0046,-0.0001,0.0002,0.0,0.0196529745038234,0.0196529745038234
2016-07-15,46.9453430037,2016-07-15,-0.0005,0.0029,0.0001,-0.0029,-0.0001,0.0,-0.0031255426283455,-0.0031255426283455
2016-07-18,46.544659881,2016-07-18,0.0024,0.0001,-0.0014,0.0004,-0.0022,0.0,-0.0085350984157985,-0.0085350984157985
2016-07-19,46.4138245757,2016-07-19,-0.0022,-0.0064,0.0004,0.0045,-0.0024,0.0,-0.002810962753504,-0.002810962753504
2016-07-20,47.0516466893,2016-07-20,0.0048,0.0039,-0.0089,-0.0005,-0.0034999999999999,0.0,0.0137420718811853,0.0137420718811853
2016-07-21,47.1007099288,2016-07-21,-0.0038,-0.0006,-0.0003,0.0015,0.0004,0.0,0.0010427528673753,0.0010427528673753
2016-07-22,47.3460261263,2016-07-22,0.0048,0.0028,-0.0013,0.004,-0.0026,0.0,0.0052083333323602,0.0052083333323602
2016-07-25,47.3869121593,2016-07-25,-0.0027,-0.0005,-0.0023,0.0044,-0.0040999999999999,0.0,0.000863557859976,0.000863557859976
2016-07-26,47.6812915963,2016-07-26,0.0013,0.0060999999999999,0.0054,-0.0053,0.0075,0.0,0.0062122519401641,0.0062122519401641
2016-07-27,47.3051400934,2016-07-27,-0.0014,0.005,-0.0043,-0.0014,-0.0056,0.0,-0.0078888698335761,-0.0078888698335761
2016-07-28,47.5995195305,2016-07-28,0.0019,-0.0052,-0.0033,-0.0011,-0.0013,0.0,0.0062229904936075,0.0062229904936075
2016-07-29,47.4686842251,2016-07-29,0.0017,-0.0005,0.0003,-0.0002,0.0034999999999999,0.0,-0.0027486686145259,-0.0027486686145259
2016-08-01,47.1252415485,2016-08-01,-0.0016,0.0007,-0.009,0.0046999999999999,-0.0075,0.0,-0.0072351421196207,-0.0072351421196207
